,feature,correlation,correlation_direction,significance
447,forward_twelve_month_return_up,1.0,1.0,0.0
448,forward_thirteen_month_return_up,0.8470693115034023,0.8470693115034023,0.0
446,forward_eleven_month_return_up,0.8375589699591268,0.8375589699591268,0.0
449,forward_fourteen_month_return_up,0.7932951709033074,0.7932951709033074,0.0
445,forward_ten_month_return_up,0.7715521570725259,0.7715521570725259,0.0
450,forward_fifteen_month_return_up,0.7459417720041785,0.7459417720041785,0.0
451,forward_sixteen_month_return_up,0.7151700135466723,0.7151700135466723,0.0
444,forward_nine_month_return_up,0.7089953097988885,0.7089953097988885,0.0
452,forward_seventeen_month_return_up,0.6830087091415791,0.6830087091415791,0.0
453,forward_eighteen_month_return_up,0.6620972342380987,0.6620972342380987,0.0
443,forward_eight_month_return_up,0.6564484272584141,0.6564484272584141,0.0
454,forward_nineteen_month_return_up,0.6375936876270907,0.6375936876270907,0.0
455,forward_twenty_month_return_up,0.6190625016271366,0.6190625016271366,0.0
442,forward_seven_month_return_up,0.6009017675631947,0.6009017675631947,0.0
456,forward_twentyone_month_return_up,0.5976219045537672,0.5976219045537672,0.0
457,forward_twentytwo_month_return_up,0.5818499176698787,0.5818499176698787,0.0
458,forward_twentythree_month_return_up,0.5640561636736843,0.5640561636736843,0.0
441,forward_six_month_return_up,0.5515091929689597,0.5515091929689597,0.0
459,forward_twentyfour_month_return_up,0.5514080858479175,0.5514080858479175,0.0
460,forward_twentyfive_month_return_up,0.5337161056808346,0.5337161056808346,0.0
461,forward_twentysix_month_return_up,0.5227434364648628,0.5227434364648628,0.0
462,forward_twentyseven_month_return_up,0.5081540994801491,0.5081540994801491,0.0
463,forward_twentyeight_month_return_up,0.49759456354903275,0.49759456354903275,0.0
440,forward_five_month_return_up,0.4960540518445477,0.4960540518445477,0.0
464,forward_twentynine_month_return_up,0.4851632294852917,0.4851632294852917,0.0
465,forward_thirty_month_return_up,0.4749919798903105,0.4749919798903105,0.0
466,forward_thirtyone_month_return_up,0.4631921640656731,0.4631921640656731,0.0
467,forward_thirtytwo_month_return_up,0.4544207620074824,0.4544207620074824,0.0
468,forward_thirtythree_month_return_up,0.44533097605265826,0.44533097605265826,0.0
439,forward_four_month_return_up,0.4416402291604348,0.4416402291604348,0.0
469,forward_thirtyfour_month_return_up,0.43747183798868644,0.43747183798868644,0.0
470,forward_thirtyfive_month_return_up,0.4277404335508039,0.4277404335508039,0.0
471,forward_thirtysix_month_return_up,0.42133359432714407,0.42133359432714407,0.0
438,forward_three_month_return_up,0.3739912569815606,0.3739912569815606,0.0
437,forward_two_month_return_up,0.30264732442738107,0.30264732442738107,0.0
436,forward_one_month_return_up,0.2104061838402591,0.2104061838402591,0.0
147,spcsrc,0.1824546328676182,0.1824546328676182,0.0
288,spcsrc_zscore,0.18245463286761812,0.18245463286761812,0.0
487,past_sixteen_month_return_up,0.14900371143440225,0.14900371143440225,0.0
157,tvol,0.1488703591149696,-0.1488703591149696,0.0
486,past_fifteen_month_return_up,0.1483829846142784,0.1483829846142784,0.0
488,past_seventeen_month_return_up,0.1480311872658783,0.1480311872658783,0.0
490,past_nineteen_month_return_up,0.14802129208605802,0.14802129208605802,0.0
154,ivol,0.14745199395401676,-0.14745199395401676,0.0
489,past_eighteen_month_return_up,0.1473449915007041,0.1473449915007041,0.0
495,past_twentyfour_month_return_up,0.1471195892376644,0.1471195892376644,0.0
485,past_fourteen_month_return_up,0.14711374066966232,0.14711374066966232,0.0
492,past_twentyone_month_return_up,0.14689090322955625,0.14689090322955625,0.0
494,past_twentythree_month_return_up,0.14679652375059682,0.14679652375059682,0.0
491,past_twenty_month_return_up,0.14659710060386147,0.14659710060386147,0.0
496,past_twentyfive_month_return_up,0.14634078193685612,0.14634078193685612,0.0
493,past_twentytwo_month_return_up,0.1463051335263701,0.1463051335263701,0.0
298,tvol_zscore,0.14581372380856158,-0.14581372380856158,0.0
507,past_thirtysix_month_return_up,0.1457291548285354,0.1457291548285354,0.0
497,past_twentysix_month_return_up,0.14542148931351315,0.14542148931351315,0.0
499,past_twentyeight_month_return_up,0.14520325040712806,0.14520325040712806,0.0
505,past_thirtyfour_month_return_up,0.14502153355104042,0.14502153355104042,0.0
483,past_twelve_month_return_up,0.1449018767190599,0.1449018767190599,0.0
506,past_thirtyfive_month_return_up,0.14489084567825722,0.14489084567825722,0.0
498,past_twentyseven_month_return_up,0.1446115123227366,0.1446115123227366,0.0
504,past_thirtythree_month_return_up,0.14449764609539367,0.14449764609539367,0.0
503,past_thirtytwo_month_return_up,0.1438749430210653,0.1438749430210653,0.0
484,past_thirteen_month_return_up,0.1438448599807773,0.1438448599807773,0.0
502,past_thirtyone_month_return_up,0.14373817796875096,0.14373817796875096,0.0
501,past_thirty_month_return_up,0.1431454961706516,0.1431454961706516,0.0
500,past_twentynine_month_return_up,0.14284917933982547,0.14284917933982547,0.0
295,ivol_zscore,0.14283695019778675,-0.14283695019778675,0.0
482,past_eleven_month_return_up,0.1427849761305088,0.1427849761305088,0.0
481,past_ten_month_return_up,0.13992418137715648,0.13992418137715648,0.0
480,past_nine_month_return_up,0.13756821448734274,0.13756821448734274,0.0
479,past_eight_month_return_up,0.13364816732488108,0.13364816732488108,0.0
478,past_seven_month_return_up,0.12810718375642083,0.12810718375642083,0.0
287,dvrate_zscore,0.12700736919472685,0.12700736919472685,0.0
146,dvrate,0.12187809758036917,0.12187809758036917,0.0
477,past_six_month_return_up,0.12119458244413406,0.12119458244413406,0.0
476,past_five_month_return_up,0.11198126304430833,0.11198126304430833,0.0
95,DIVYIELD,0.11153095147387379,0.11153095147387379,0.0
236,DIVYIELD_zscore,0.10726635620960213,0.10726635620960213,0.0
511,sector_Financials,0.10348836054761995,0.10348836054761995,0.0
475,past_four_month_return_up,0.1020131223203573,0.1020131223203573,0.0
151,b_smb,0.1013472549757917,-0.1013472549757917,0.0
292,b_smb_zscore,0.1002487189144405,-0.1002487189144405,0.0
417,spcsrc_sector_zscore,0.09153704747339945,0.09153704747339945,0.0
474,past_three_month_return_up,0.088333805632585,0.088333805632585,0.0
