,count,mean,std,min,25%,50%,75%,max
forward_thirtysix_month_return,0,,,,,,,
past_thirtysix_month_return,0,,,,,,,
forward_thirtysix_month_return_median,0,,,,,,,
past_thirtysix_month_return_median,0,,,,,,,
forward_thirtysix_month_return_sector_median,0,,,,,,,
past_thirtysix_month_return_sector_median,0,,,,,,,
forward_thirtysix_month_return_mad,0,,,,,,,
past_thirtysix_month_return_mad,0,,,,,,,
forward_thirtysix_month_return_sector_mad,0,,,,,,,
past_thirtysix_month_return_sector_mad,0,,,,,,,
forward_thirtysix_month_return_zscore,0,,,,,,,
past_thirtysix_month_return_zscore,0,,,,,,,
forward_thirtysix_month_return_sector_zscore,0,,,,,,,
past_thirtysix_month_return_sector_zscore,0,,,,,,,
forward_thirtyfive_month_return,6,136.5279195,121.8673753,25.27873536,25.27873536,136.5279195,247.7771037,247.7771037
past_thirtyfive_month_return,6,5.024707501,10.96591223,-4.985754986,-4.985754986,5.024707501,15.03516999,15.03516999
forward_thirtyfive_month_return_zscore,6,-3.70E-17,0.737177063,-0.67294751,-0.67294751,0,0.67294751,0.67294751
past_thirtyfive_month_return_zscore,6,-3.70E-17,0.737177063,-0.67294751,-0.67294751,0,0.67294751,0.67294751
forward_thirtyfive_month_return_sector_zscore,6,-3.70E-17,0.737177063,-0.67294751,-0.67294751,0,0.67294751,0.67294751
past_thirtyfive_month_return_sector_zscore,6,-3.70E-17,0.737177063,-0.67294751,-0.67294751,0,0.67294751,0.67294751
forward_thirtyfour_month_return,12,58.07075173,105.786424,-7.952389167,-4.792584471,3.578306896,66.44164309,233.0787823
past_thirtyfour_month_return,12,2.361059226,8.943537864,-7.952389167,-4.792584471,2.045177045,9.198820743,13.30627198
forward_thirtyfour_month_return_zscore,12,3.891122034,7.553852405,-0.823368187,-0.597737172,0,4.488859206,16.38785632
past_thirtyfour_month_return_zscore,12,0.026938452,0.762705468,-0.852593071,-0.583124729,0,0.610063182,0.96034688
forward_thirtyfour_month_return_sector_zscore,12,3.891122034,7.553852405,-0.823368187,-0.597737172,0,4.488859206,16.38785632
past_thirtyfour_month_return_sector_zscore,12,0.026938452,0.762705468,-0.852593071,-0.583124729,0,0.610063182,0.96034688
forward_thirtythree_month_return,18,38.1960367,122.9816188,-71.44021406,-29.27318485,8.907581033,15.27165932,296.8027977
past_thirtythree_month_return,18,1.97543458,9.859189828,-10.18518519,-6.744868035,0.952452623,11.60609613,15.27165932
forward_thirtythree_month_return_zscore,18,0.884932642,3.715813835,-2.427659122,-1.153608316,0,0.192286704,8.698576583
past_thirtythree_month_return_zscore,18,0.075027465,0.723091952,-0.816855786,-0.564536307,0,0.781358713,1.05019817
forward_thirtythree_month_return_sector_zscore,18,0.884932642,3.715813835,-2.427659122,-1.153608316,0,0.192286704,8.698576583
past_thirtythree_month_return_sector_zscore,18,0.075027465,0.723091952,-0.816855786,-0.564536307,0,0.781358713,1.05019817
forward_thirtytwo_month_return,24,105.8797304,137.0316975,-79.01591157,-8.303125595,125.5566639,220.2953555,262.5979023
past_thirtytwo_month_return,24,2.609058139,11.1789135,-12.98947732,-5.424900672,3.14966122,11.55787869,18.72801876
forward_thirtytwo_month_return_zscore,24,0.17422013,0.840919658,-0.722073518,-0.636103004,-1.39E-17,0.801713416,1.551644928
past_thirtytwo_month_return_zscore,24,-0.045648622,0.737512035,-0.964782285,-0.737357174,0,0.479718519,1.114870619
forward_thirtytwo_month_return_sector_zscore,24,0.17422013,0.840919658,-0.722073518,-0.636103004,-1.39E-17,0.801713416,1.551644928
past_thirtytwo_month_return_sector_zscore,24,-0.045648622,0.737512035,-0.964782285,-0.737357174,0,0.479718519,1.114870619
forward_thirtyone_month_return,30,59.94701077,105.3158389,-63.00785832,0.797332058,8.477945753,178.6101082,262.7154801
past_thirtyone_month_return,30,2.031225612,13.24780727,-23.5530086,-9.540889527,4.310376379,11.29120879,23.3880422
