Index,Year-Month,Month,Year
1,1900-1,1,1900
2,1900-2,2,1900
3,1900-3,3,1900
4,1900-4,4,1900
5,1900-5,5,1900
6,1900-6,6,1900
7,1900-7,7,1900
8,1900-8,8,1900
9,1900-9,9,1900
10,1900-10,10,1900
11,1900-11,11,1900
12,1900-12,12,1900
13,1901-1,1,1901
14,1901-2,2,1901
15,1901-3,3,1901
16,1901-4,4,1901
17,1901-5,5,1901
18,1901-6,6,1901
19,1901-7,7,1901
20,1901-8,8,1901
21,1901-9,9,1901
22,1901-10,10,1901
23,1901-11,11,1901
24,1901-12,12,1901
25,1902-1,1,1902
26,1902-2,2,1902
27,1902-3,3,1902
28,1902-4,4,1902
29,1902-5,5,1902
30,1902-6,6,1902
31,1902-7,7,1902
32,1902-8,8,1902
33,1902-9,9,1902
34,1902-10,10,1902
35,1902-11,11,1902
36,1902-12,12,1902
37,1903-1,1,1903
38,1903-2,2,1903
39,1903-3,3,1903
40,1903-4,4,1903
41,1903-5,5,1903
42,1903-6,6,1903
43,1903-7,7,1903
44,1903-8,8,1903
45,1903-9,9,1903
46,1903-10,10,1903
47,1903-11,11,1903
48,1903-12,12,1903
49,1904-1,1,1904
50,1904-2,2,1904
51,1904-3,3,1904
52,1904-4,4,1904
53,1904-5,5,1904
54,1904-6,6,1904
55,1904-7,7,1904
56,1904-8,8,1904
57,1904-9,9,1904
58,1904-10,10,1904
59,1904-11,11,1904
60,1904-12,12,1904
61,1905-1,1,1905
62,1905-2,2,1905
63,1905-3,3,1905
64,1905-4,4,1905
65,1905-5,5,1905
66,1905-6,6,1905
67,1905-7,7,1905
68,1905-8,8,1905
69,1905-9,9,1905
70,1905-10,10,1905
71,1905-11,11,1905
72,1905-12,12,1905
73,1906-1,1,1906
74,1906-2,2,1906
75,1906-3,3,1906
76,1906-4,4,1906
77,1906-5,5,1906
78,1906-6,6,1906
79,1906-7,7,1906
80,1906-8,8,1906
81,1906-9,9,1906
82,1906-10,10,1906
83,1906-11,11,1906
84,1906-12,12,1906
85,1907-1,1,1907
86,1907-2,2,1907
87,1907-3,3,1907
88,1907-4,4,1907
89,1907-5,5,1907
90,1907-6,6,1907
91,1907-7,7,1907
92,1907-8,8,1907
93,1907-9,9,1907
94,1907-10,10,1907
95,1907-11,11,1907
96,1907-12,12,1907
97,1908-1,1,1908
98,1908-2,2,1908
99,1908-3,3,1908
