,feature,correlation,correlation_direction,significance
21,past_twelve_month_return_up,0.1449018767190599,0.1449018767190599,0.0
22,past_six_month_return_up,0.12119458244413406,0.12119458244413406,0.0
5,DIVYIELD,0.11153095147387379,0.11153095147387379,0.0
42,DIVYIELD_zscore,0.10726635620960213,0.10726635620960213,0.0
10,sector_Financials,0.10348836054761995,0.10348836054761995,0.0
23,past_three_month_return_up,0.088333805632585,0.088333805632585,0.0
3,ptb,0.07378195658024767,-0.07378195658024767,0.0
39,ps_zscore,0.073118572003128,-0.073118572003128,0.0
2,ps,0.07092375506835558,-0.07092375506835558,0.0
40,ptb_zscore,0.06002548010146257,-0.06002548010146257,0.0
48,ps_sector_zscore,0.059610105784016584,-0.059610105784016584,0.0
11,sector_Information Technology,0.059236586346505575,-0.059236586346505575,0.0
18,sector_Utilities,0.05493922042011519,0.05493922042011519,0.0
24,past_one_month_return_up,0.05451545142327467,0.05451545142327467,0.0
0,pe_op_basic,0.04380958649505772,0.04380958649505772,0.0
37,pe_op_basic_zscore,0.04327488478147801,0.04327488478147801,0.0
12,sector_Consumer Discretionary,0.03834320060587077,-0.03834320060587077,0.0
49,ptb_sector_zscore,0.03665105176307384,-0.03665105176307384,0.0
51,DIVYIELD_sector_zscore,0.03621599209121857,0.03621599209121857,0.0
38,PEG_trailing_zscore,0.03604304852299917,0.03604304852299917,0.0
46,pe_op_basic_sector_zscore,0.035230635849334384,0.035230635849334384,0.0
7,MEANREC,0.03486100928345219,0.03486100928345219,0.0
14,sector_Health Care,0.030958841531484163,-0.030958841531484163,2.0769429854324424e-286
1,PEG_trailing,0.03058100114604677,0.03058100114604677,1.6463290352016299e-279
41,pcf_zscore,0.027644474769725882,0.027644474769725882,8.85698069600886e-229
50,pcf_sector_zscore,0.02490971884856079,0.02490971884856079,3.910159325209987e-186
4,pcf,0.02392977994221896,0.02392977994221896,6.222209688225528e-172
47,PEG_trailing_sector_zscore,0.021513497962546417,0.021513497962546417,2.4011690326684434e-139
44,MEANREC_zscore,0.015667836160642445,0.015667836160642445,8.290371030500363e-75
17,sector_Consumer Staples,0.013086712536572221,0.013086712536572221,9.643415344991174e-53
20,sector_Real Estate,0.010878998167734577,0.010878998167734577,5.464416701455409e-37
19,sector_Telecommunication Services,0.009482531015188806,-0.009482531015188806,1.6572457708709854e-28
6,roa,0.009286542265683291,0.009286542265683291,2.0795830552752307e-27
53,MEANREC_sector_zscore,0.008927887019452078,0.008927887019452078,1.8617341535392326e-25
43,roa_zscore,0.008558297823860408,0.008558297823860408,1.593388666103138e-23
52,roa_sector_zscore,0.007038281520652571,0.007038281520652571,2.0307995780281986e-16
16,sector_Materials,0.0049257818942109,-0.0049257818942109,8.76979947906442e-09
34,october,0.0035801598354837736,0.0035801598354837736,2.8977993604321023e-05
8,curr_ratio,0.0032457953137891666,-0.0032457953137891666,0.0001501396342893241
25,january,0.003219417754726967,-0.003219417754726967,0.0001698921238958013
54,curr_ratio_sector_zscore,0.0029117109521265604,0.0029117109521265604,0.0006722537870759758
15,sector_Energy,0.002899325460355789,-0.002899325460355789,0.0007087119327011224
9,quick_ratio,0.0028856681207606763,-0.0028856681207606763,0.0007510389908580578
36,december,0.002453229295553904,-0.002453229295553904,0.004167733019649558
13,sector_Industrials,0.00232819030552066,-0.00232819030552066,0.006545128897584829
26,february,0.0022856078905292396,-0.0022856078905292396,0.007598462460695457
31,july,0.0022429792260864443,0.0022429792260864443,0.008802702391290353
32,august,0.00200435143649993,0.00200435143649993,0.0192360853239212
45,curr_ratio_zscore,0.00197401185020397,-0.00197401185020397,0.021139166491472853
30,june,0.001837362039259859,0.001837362039259859,0.031881501151543985
55,quick_ratio_sector_zscore,0.0012527833437486603,0.0012527833437486603,0.14342607592497184
28,april,0.0010954577447172629,-0.0010954577447172629,0.20075373512597894
33,september,0.0007059178368195355,-0.0007059178368195355,0.4096808060294762
27,march,0.0006572916213428138,-0.0006572916213428138,0.4426868666329893
29,may,0.0006252754804974289,0.0006252754804974289,0.46522415812384643
35,november,0.00020414292049563898,0.00020414292049563898,0.8115533812858344
