,count,mean,std,min,25%,50%,75%,max
GVKEY,47539.0,70699.48736826605,71125.34927999611,1004.0,12635.0,26069.0,147349.0,315318.0
forward_one_month_return,47539.0,-0.44970476144643357,11.844652469579934,-29.79755333796347,-5.865015774624399,-0.32219955263711464,4.800478387151886,30.809446254071688
forward_two_month_return,47539.0,-1.184555682895513,14.52095365490059,-37.69310530691296,-7.4242266462796636,-0.5799502899751507,5.43146062772043,34.45294713630135
forward_three_month_return,47539.0,-1.941632147696362,16.7822310742129,-45.06423059921329,-7.95489858184078,-0.9524738007765488,4.9693984739626496,39.716081422203146
forward_four_month_return,47539.0,-3.535769236566499,16.933119702685605,-48.79061180015605,-8.168741143087965,-2.3098591549295833,2.787829407522169,36.60044321018823
forward_five_month_return,47539.0,-4.8481616233809115,17.84743346375139,-52.90651558073654,-7.525928183854059,-3.758621642308746,-0.42992677683406644,39.246819605808454
forward_six_month_return,47539.0,-5.817913443279543,16.768542136278967,-53.567883725296824,-4.649208981470854,-4.649208981470854,-4.649208981470854,34.289117445597114
forward_seven_month_return,47539.0,-6.240170942086541,16.45254337171747,-54.694884910485946,-5.235602094240843,-5.235602094240843,-5.235602094240843,35.07209118011984
forward_eight_month_return,47539.0,-5.988396978838353,14.377822964159943,-51.7029697937845,-5.071969983024665,-5.071969983024665,-5.071969983024665,29.644618736383446
forward_nine_month_return,47539.0,-4.7088191199905625,12.840528105648776,-47.03770737902723,-4.1666666666666625,-4.1666666666666625,-4.1666666666666625,30.67324897520783
forward_ten_month_return,47539.0,-3.517274218728179,9.459307697153543,-38.11880201355905,-3.1658908787733253,-3.1658908787733253,-3.1658908787733253,24.175706142815518
forward_eleven_month_return,47539.0,-2.8036852996856245,4.941515717739528,-22.26270975198684,-2.719013685624516,-2.719013685624516,-2.719013685624516,14.407520082512859
forward_twelve_month_return,47539.0,-2.3762376237607468,1.6427032647538775e-12,-2.3762376237623895,-2.3762376237623895,-2.3762376237623895,-2.3762376237623895,-2.3762376237623895
forward_thirteen_month_return,47539.0,-1.1905355346460809,5.326906099141054e-13,-1.1905355346455482,-1.1905355346455482,-1.1905355346455482,-1.1905355346455482,-1.1905355346455482
forward_fourteen_month_return,47539.0,-2.8167379708063143,2.5881791367898346e-12,-2.8167379708089024,-2.8167379708089024,-2.8167379708089024,-2.8167379708089024,-2.8167379708089024
forward_fifteen_month_return,47539.0,-3.6071028927315476,3.4195228814827946e-13,-3.6071028927318896,-3.6071028927318896,-3.6071028927318896,-3.6071028927318896,-3.6071028927318896
forward_sixteen_month_return,47539.0,-2.3820899468733328,1.2443474391668663e-12,-2.382089946874577,-2.382089946874577,-2.382089946874577,-2.382089946874577,-2.3820899468745766
forward_seventeen_month_return,47539.0,1.4405904344659552,4.3898680108386267e-13,1.4405904344655163,1.4405904344655163,1.4405904344655163,1.4405904344655163,1.4405904344655163
forward_eighteen_month_return,47539.0,-2.2964786001693547,1.4601806797812244e-12,-2.296478600170815,-2.296478600170815,-2.296478600170815,-2.296478600170815,-2.296478600170815
forward_nineteen_month_return,47539.0,3.498732321595304,1.5148042271088069e-12,3.4987323215937893,3.4987323215937893,3.4987323215937893,3.4987323215937893,3.4987323215937893
forward_twenty_month_return,47539.0,0.02871088142408665,2.1122215201366936e-14,0.028710881424065526,0.028710881424065526,0.028710881424065526,0.028710881424065526,0.028710881424065526
forward_twentyone_month_return,47539.0,3.0303030303038603,8.32676026335096e-13,3.0303030303030276,3.0303030303030276,3.0303030303030276,3.0303030303030276,3.0303030303030276
forward_twentytwo_month_return,47539.0,2.106390574796775,2.060595606503918e-12,2.1063905747947143,2.1063905747947143,2.1063905747947143,2.1063905747947143,2.1063905747947143
forward_twentythree_month_return,47539.0,8.436724565752215,4.6008126041768505e-12,8.436724565756816,8.436724565756816,8.436724565756816,8.436724565756816,8.436724565756816
forward_twentyfour_month_return,47539.0,-4.875719332107117,3.0287135503050296e-13,-4.87571933210742,-4.87571933210742,-4.87571933210742,-4.87571933210742,-4.875719332107419
forward_twentyfive_month_return,47539.0,2.3558531229468103,1.0933591343130702e-12,2.355853122945717,2.355853122945717,2.355853122945717,2.355853122945717,2.355853122945717
forward_twentysix_month_return,47539.0,10.291456854844961,5.583148268311908e-12,10.291456854850544,10.291456854850544,10.291456854850544,10.291456854850544,10.291456854850544
forward_twentyseven_month_return,47539.0,-0.5959727412155684,1.9828791773793088e-13,-0.5959727412157667,-0.5959727412157667,-0.5959727412157667,-0.5959727412157667,-0.5959727412157667
forward_twentyeight_month_return,47539.0,1.6928005384061344,1.9051627482547e-13,1.692800538406325,1.692800538406325,1.692800538406325,1.692800538406325,1.692800538406325
forward_twentynine_month_return,47539.0,8.007537098248397,4.4196223008463344e-12,8.007537098243978,8.007537098243978,8.007537098243978,8.007537098243978,8.007537098243978
forward_thirty_month_return,47539.0,-0.8410151914060665,7.688375309827387e-13,-0.8410151914052977,-0.8410151914052977,-0.8410151914052977,-0.8410151914052977,-0.8410151914052977
forward_thirtyone_month_return,47539.0,8.477945753202151,4.5208757056486815e-12,8.477945753206672,8.477945753206672,8.477945753206672,8.477945753206672,8.477945753206672
forward_thirtytwo_month_return,47539.0,125.55666388453582,8.540809929634637e-12,125.55666388454435,125.55666388454436,125.55666388454436,125.55666388454436,125.55666388454436
forward_thirtythree_month_return,47539.0,8.90758103267816,5.4499201040982925e-12,8.90758103268361,8.90758103268361,8.90758103268361,8.90758103268361,8.90758103268361
forward_thirtyfour_month_return,47539.0,3.5783068955911723,2.549098875287174e-12,3.5783068955886232,3.5783068955886232,3.5783068955886232,3.5783068955886232,3.5783068955886232
forward_thirtyfive_month_return,47539.0,136.52791951345904,9.504319597447036e-11,136.52791951355408,136.52791951355408,136.52791951355408,136.52791951355408,136.52791951355408
forward_thirtysix_month_return,0.0,,,,,,,
past_one_month_return,47539.0,-0.657408455014799,10.63220671249558,-26.376372703412073,-5.852758001055197,-0.4527682318650528,4.524953212174399,25.360079345221898
past_two_month_return,47539.0,-1.4570051641693524,13.978375789620276,-36.15975274725276,-7.6507932545799076,-0.8205940858767025,5.153089067755856,31.840223353426367
past_three_month_return,47539.0,-2.4542435638807456,15.787109292698785,-43.39314845024469,-8.21383114128128,-1.365576102418209,4.407747065991141,34.29660265878877
past_four_month_return,47539.0,-4.086907484945559,16.431153261603075,-47.8241847826087,-8.725267596496911,-2.8135431568907965,2.183581405800916,33.99127456853195
past_five_month_return,47539.0,-5.488679835073951,16.75344184270115,-51.07792244691047,-8.04308786451643,-4.318669527897001,-1.048246222399457,33.975380018158496
past_six_month_return,47539.0,-6.473096133356828,16.33970916016608,-52.690384615384616,-5.327996240774407,-5.318727786305138,-5.287838311824605,32.35085773060569
past_seven_month_return,47539.0,-6.958960068542079,15.345665492265619,-52.80249998865085,-5.87347503458685,-5.87347503458685,-5.87347503458685,29.96887552168034
past_eight_month_return,47539.0,-6.651426945392874,13.837817303437213,-50.73943147120803,-5.705980112432263,-5.705980112432263,-5.705980112432263,27.55744648279029
past_nine_month_return,47539.0,-5.579246088939238,11.916724947970023,-45.75113312904647,-5.002552322613585,-5.002552322613585,-5.002552322613585,26.415142788459285
