X_time_index,y_time_index,year-month
0,1,1900-01
1,2,1900-02
2,3,1900-03
3,4,1900-04
4,5,1900-05
5,6,1900-06
6,7,1900-07
7,8,1900-08
8,9,1900-09
9,10,1900-10
10,11,1900-11
11,12,1900-12
12,13,1901-01
13,14,1901-02
14,15,1901-03
15,16,1901-04
16,17,1901-05
17,18,1901-06
18,19,1901-07
19,20,1901-08
20,21,1901-09
21,22,1901-10
22,23,1901-11
23,24,1901-12
24,25,1902-01
25,26,1902-02
26,27,1902-03
27,28,1902-04
28,29,1902-05
29,30,1902-06
30,31,1902-07
31,32,1902-08
32,33,1902-09
33,34,1902-10
34,35,1902-11
35,36,1902-12
36,37,1903-01
37,38,1903-02
38,39,1903-03
39,40,1903-04
40,41,1903-05
41,42,1903-06
42,43,1903-07
43,44,1903-08
44,45,1903-09
45,46,1903-10
46,47,1903-11
47,48,1903-12
48,49,1904-01
49,50,1904-02
50,51,1904-03
51,52,1904-04
52,53,1904-05
53,54,1904-06
54,55,1904-07
55,56,1904-08
56,57,1904-09
57,58,1904-10
58,59,1904-11
59,60,1904-12
60,61,1905-01
61,62,1905-02
62,63,1905-03
63,64,1905-04
64,65,1905-05
65,66,1905-06
66,67,1905-07
67,68,1905-08
68,69,1905-09
69,70,1905-10
70,71,1905-11
71,72,1905-12
72,73,1906-01
73,74,1906-02
74,75,1906-03
75,76,1906-04
76,77,1906-05
77,78,1906-06
78,79,1906-07
79,80,1906-08
80,81,1906-09
81,82,1906-10
82,83,1906-11
83,84,1906-12
84,85,1907-01
85,86,1907-02
86,87,1907-03
87,88,1907-04
88,89,1907-05
89,90,1907-06
90,91,1907-07
91,92,1907-08
92,93,1907-09
93,94,1907-10
94,95,1907-11
95,96,1907-12
96,97,1908-01
97,98,1908-02
98,99,1908-03
99,100,1908-04
100,101,1908-05
101,102,1908-06
102,103,1908-07
103,104,1908-08
104,105,1908-09
105,106,1908-10
106,107,1908-11
107,108,1908-12
108,109,1909-01
109,110,1909-02
110,111,1909-03
111,112,1909-04
112,113,1909-05
113,114,1909-06
114,115,1909-07
115,116,1909-08
116,117,1909-09
117,118,1909-10
118,119,1909-11
119,120,1909-12
120,121,1910-01
121,122,1910-02
122,123,1910-03
123,124,1910-04
124,125,1910-05
125,126,1910-06
126,127,1910-07
127,128,1910-08
128,129,1910-09
129,130,1910-10
130,131,1910-11
131,132,1910-12
132,133,1911-01
133,134,1911-02
134,135,1911-03
135,136,1911-04
136,137,1911-05
137,138,1911-06
138,139,1911-07
139,140,1911-08
140,141,1911-09
141,142,1911-10
142,143,1911-11
143,144,1911-12
144,145,1912-01
145,146,1912-02
146,147,1912-03
147,148,1912-04
148,149,1912-05
149,150,1912-06
150,151,1912-07
151,152,1912-08
152,153,1912-09
153,154,1912-10
154,155,1912-11
155,156,1912-12
156,157,1913-01
157,158,1913-02
158,159,1913-03
159,160,1913-04
160,161,1913-05
161,162,1913-06
162,163,1913-07
163,164,1913-08
164,165,1913-09
165,166,1913-10
166,167,1913-11
167,168,1913-12
168,169,1914-01
169,170,1914-02
170,171,1914-03
171,172,1914-04
172,173,1914-05
173,174,1914-06
174,175,1914-07
175,176,1914-08
176,177,1914-09
177,178,1914-10
178,179,1914-11
179,180,1914-12
180,181,1915-01
181,182,1915-02
182,183,1915-03
183,184,1915-04
184,185,1915-05
185,186,1915-06
186,187,1915-07
187,188,1915-08
188,189,1915-09
189,190,1915-10
190,191,1915-11
191,192,1915-12
192,193,1916-01
193,194,1916-02
194,195,1916-03
195,196,1916-04
196,197,1916-05
197,198,1916-06
198,199,1916-07
199,200,1916-08
200,201,1916-09
201,202,1916-10
202,203,1916-11
203,204,1916-12
204,205,1917-01
205,206,1917-02
206,207,1917-03
207,208,1917-04
208,209,1917-05
209,210,1917-06
210,211,1917-07
211,212,1917-08
212,213,1917-09
213,214,1917-10
214,215,1917-11
215,216,1917-12
216,217,1918-01
217,218,1918-02
218,219,1918-03
219,220,1918-04
220,221,1918-05
221,222,1918-06
222,223,1918-07
223,224,1918-08
224,225,1918-09
225,226,1918-10
226,227,1918-11
227,228,1918-12
228,229,1919-01
229,230,1919-02
230,231,1919-03
231,232,1919-04
232,233,1919-05
233,234,1919-06
234,235,1919-07
235,236,1919-08
236,237,1919-09
237,238,1919-10
238,239,1919-11
239,240,1919-12
240,241,1920-01
241,242,1920-02
242,243,1920-03
243,244,1920-04
244,245,1920-05
245,246,1920-06
246,247,1920-07
247,248,1920-08
248,249,1920-09
249,250,1920-10
250,251,1920-11
251,252,1920-12
252,253,1921-01
253,254,1921-02
254,255,1921-03
255,256,1921-04
256,257,1921-05
257,258,1921-06
258,259,1921-07
259,260,1921-08
260,261,1921-09
261,262,1921-10
262,263,1921-11
263,264,1921-12
264,265,1922-01
265,266,1922-02
266,267,1922-03
267,268,1922-04
268,269,1922-05
269,270,1922-06
270,271,1922-07
271,272,1922-08
272,273,1922-09
273,274,1922-10
274,275,1922-11
275,276,1922-12
276,277,1923-01
277,278,1923-02
278,279,1923-03
279,280,1923-04
280,281,1923-05
281,282,1923-06
282,283,1923-07
283,284,1923-08
284,285,1923-09
285,286,1923-10
286,287,1923-11
287,288,1923-12
288,289,1924-01
289,290,1924-02
290,291,1924-03
291,292,1924-04
292,293,1924-05
293,294,1924-06
294,295,1924-07
295,296,1924-08
296,297,1924-09
297,298,1924-10
298,299,1924-11
299,300,1924-12
300,301,1925-01
301,302,1925-02
302,303,1925-03
303,304,1925-04
304,305,1925-05
305,306,1925-06
306,307,1925-07
307,308,1925-08
308,309,1925-09
309,310,1925-10
310,311,1925-11
311,312,1925-12
312,313,1926-01
313,314,1926-02
314,315,1926-03
315,316,1926-04
316,317,1926-05
317,318,1926-06
318,319,1926-07
319,320,1926-08
320,321,1926-09
321,322,1926-10
322,323,1926-11
323,324,1926-12
324,325,1927-01
325,326,1927-02
326,327,1927-03
327,328,1927-04
328,329,1927-05
329,330,1927-06
330,331,1927-07
331,332,1927-08
332,333,1927-09
333,334,1927-10
334,335,1927-11
335,336,1927-12
336,337,1928-01
337,338,1928-02
338,339,1928-03
339,340,1928-04
340,341,1928-05
341,342,1928-06
342,343,1928-07
343,344,1928-08
344,345,1928-09
345,346,1928-10
346,347,1928-11
347,348,1928-12
348,349,1929-01
349,350,1929-02
350,351,1929-03
351,352,1929-04
352,353,1929-05
353,354,1929-06
354,355,1929-07
355,356,1929-08
