Id,Probability of Loss on Investment,Probability of Return on Investment,Probability Gap,Unnamed: 0,No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Dividend,Payout Ratio,EPS,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,EPS Q/Q,Sales Q/Q,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Beta,ATR,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,from Open,Gap,Recom,Avg Volume,Rel Volume,Price,Change,Volume,Earnings,Target Price,IPO Date,enterpriseValue,enterpriseToEbitda,enterpriseToRevenue,pegRatio,sharesShort,profitMargins,sharesOutstanding,heldPercentInstitutions,trailingEps,forwardEps,bookValue,earningsQuarterlyGrowth,heldPercentInsiders,netIncomeToCommon,forwardPE,priceToBook,yahooBeta,totalDebt,operatingCashflow,operatingMargins,currentRatio,recommendationKey,grossProfits,returnOnAssets,totalCashPerShare,targetMedianPrice,targetHighPrice,totalRevenue,grossMargins,targetMeanPrice,revenueGrowth,earningsGrowth,revenuePerShare,ebitdaMargins,freeCashflow,recommendationMean,numberOfAnalystOpinions,quickRatio,totalCash,returnOnEquity,targetLowPrice,debtToEquity
4220,0.0,1.0,1.0,4220,581,BLE,BlackRock Municipal Income Trust II,Financial,Asset Management,USA,352.21M,8.34,-,-,12.72,0.93,-,-,5.87%,-,1.80,-,-,0.00%,-,-,-,3.30%,23.48M,-,0.06%,-,4.70%,994.45%,-,0.77,-,-,-,-,-,-,-,-,-,-,-0.20%,1.78%,3.02%,1.83%,-1.56%,5.24%,-,0.10,0.59%,0.61%,-0.10%,1.90%,0.87%,-1.83%,5.78%,-6.80%,10.90%,54.57,0.54%,-0.20%,-,49.71K,0.56,15.00,0.33%,"27,989",-,-,,,,,,,,,,1.7990000000000002,,16.116,,,,,0.9288905999999999,,,,,,none,27959654.0,,,,,,,,,,,,,,,,,,,
2498,0.0,1.0,1.0,2498,2303,IRT,"Independence Realty Trust, Inc.",Financial,REIT - Residential,USA,630.02M,180.39,32.06,36.08,4.11,1.22,30.14,-,7.83%,-,0.05,-124.00%,4.74%,49.30%,5.00%,77.70%,-795.90%,-4.30%,68.48M,68.48M,0.50%,5.22%,71.10%,-0.94%,2.67%,3.91,-0.70%,-2.40%,-,-,-,1.47,1.47,50.80%,25.10%,-6.40%,-2.95%,-0.76%,0.77%,2.56%,26.90%,3.14%,1.10,0.15,1.73%,1.51%,-1.45%,-0.20%,1.28%,-4.37%,7.30%,-14.02%,30.68%,44.19,-0.65%,-0.11%,1.80,466.86K,0.65,9.20,-0.76%,"302,048",May 02/b,10.00,,,,,6.87,,,,,-0.19,0.29,7.376,,,,31.724138,1.2472885,,,,,,buy,77951000.0,,,10.0,10.5,,,10.0,,,,,,1.8,7.0,,,,9.0,
2057,0.0,1.0,1.0,2057,2744,MHE,BlackRock Massachusetts Tax-Exempt Trust,Financial,Asset Management,USA,32.98M,9.43,-,-,15.51,0.95,-,-,4.59%,-,1.48,-,-,0.00%,-,-,2054.30%,-0.40%,2.37M,-,0.05%,-,2.10%,-2.25%,-,0.61,-,-,-,-,-,-,-,-,-,-,0.14%,0.32%,-0.28%,1.83%,-0.22%,-0.47%,-,0.18,1.08%,0.55%,0.78%,0.32%,-0.34%,-5.59%,4.12%,-13.48%,12.07%,51.63,1.45%,0.01%,-,1.37K,4.20,13.94,1.46%,"5,741",-,-,,,,,,,,,,1.479,,14.689,,,,,0.9490094000000001,,,,,,none,1450308.0,,,,,,,,,,,,,,,,,,,
1905,0.0,1.0,1.0,1905,2896,MXE,Mexico Equity & Income Fund Inc.,Financial,Asset Management,Mexico,81.56M,-,-,-,52.98,1.03,-,-,-,-,-1.45,-,-,-,-,-,-,-36.60%,7.37M,-,36.51%,-,20.60%,-34.66%,-,0.19,-,-,-,-,-,-,-,-,-,-,0.00%,2.22%,20.22%,2.50%,-2.30%,20.61%,-,0.18,1.44%,1.56%,-0.64%,5.89%,8.87%,-6.43%,16.79%,-6.43%,27.27%,55.96,0.55%,0.09%,-,14.55K,0.36,11.06,0.64%,"5,214",-,-,,,,,,,,,,-1.445,,10.707,,,,,1.0329690999999999,,,,,,none,947747.0,,,,,,,,,,,,,,,,,,,
1473,0.0,1.0,1.0,1473,3328,PEB,Pebblebrook Hotel Trust,Financial,REIT - Hotel/Motel,USA,2.14B,46.36,35.22,-,2.62,1.33,64.15,15.77,5.11%,224.40%,0.64,-31.90%,-2.54%,50.10%,-,23.20%,-13.30%,2.80%,72.00M,70.84M,1.50%,-11.86%,-,-4.64%,18.38%,13.70,1.60%,2.80%,6.90%,-,-,0.62,0.62,40.70%,22.00%,5.70%,-1.06%,4.79%,-3.78%,18.37%,13.26%,1.40%,1.25,0.79,3.29%,2.49%,0.20%,3.85%,6.39%,-6.12%,15.09%,-6.12%,34.26%,50.93,-4.77%,0.16%,2.70,949.79K,1.65,29.76,-4.62%,"1,565,985",Apr 27/a,27.80,,3132134656.0,12.447000000000001,3.847,0.49,11286500.0,0.09053001,72117504.0,1.088,0.64,0.85,22.324,-0.19899999999999998,0.0133299995,46469000.0,35.011765000000004,1.3330945,1.1313799999999998,996251008.0,241260000.0,0.18326001,0.42,hold,332497000.0,0.03178,0.46299999999999997,30.0,33.0,814156992.0,0.3436,29.67,0.004,-0.133,11.323,0.30908,194940128.0,2.7,9.0,0.24,33410000.0,0.043899997999999996,26.0,61.913000000000004
504,0.0,1.0,1.0,504,4297,TRN,"Trinity Industries, Inc.",Services,Railroads,USA,3.99B,11.96,23.83,1.20,0.87,1.02,7.09,44.34,1.64%,19.50%,2.25,-55.70%,-7.84%,20.40%,10.00%,9.30%,-66.00%,-28.60%,148.50M,148.50M,1.44%,27.55%,83.30%,0.22%,6.60%,7.33,3.70%,8.70%,7.70%,-,-,0.78,0.78,24.70%,16.20%,7.30%,2.95%,2.93%,-5.30%,21.65%,38.32%,-2.32%,2.20,0.72,2.53%,2.51%,1.53%,1.21%,6.02%,-10.36%,7.99%,-10.36%,67.10%,53.02,0.45%,-0.26%,2.90,1.34M,1.03,26.90,0.19%,"1,378,596",Apr 25/a,27.00,,6236101120.0,6.188,1.359,2.28,10484200.0,0.074889995,152172992.0,0.77699995,1.906,1.11,26.611,-0.662,0.01439,334200000.0,24.234234,1.0108602,2.6671,3057499904.0,1090199936.0,0.15797,3.6239999999999997,hold,1132200000.0,0.050300002,5.244,29.0,34.0,4588299776.0,0.24676001,29.67,-0.28600000000000003,-0.66,30.918000000000003,0.21965,-150787504.0,2.9,6.0,2.1830000000000003,798099968.0,0.08725,27.0,70.922
4543,0.1,0.9,0.8,4543,258,ANET,"Arista Networks, Inc.",Technology,Diversified Computer Systems,USA,9.72B,56.17,31.64,2.89,8.61,8.82,11.05,88.40,-,0.00%,2.49,49.70%,16.96%,36.20%,19.41%,51.90%,30.70%,33.70%,69.64M,44.44M,0.30%,0.00%,63.90%,1.07%,10.72%,5.99,12.60%,18.80%,16.20%,3.30,2.70,0.04,0.00,64.00%,21.60%,16.20%,2.18%,4.76%,48.90%,65.80%,112.35%,44.30%,-,2.31,1.55%,1.71%,3.81%,9.23%,44.55%,-0.48%,40.32%,-0.48%,130.77%,75.74,0.31%,-0.32%,2.30,795.29K,1.16,139.64,-0.01%,"923,972",May 04/a,129.95,,8876167168.0,33.729,7.861000000000001,1.91,4568150.0,0.16312000000000001,71958000.0,0.415,2.5,4.41,15.645,0.33799999999999997,0.48236,182964992.0,31.6644,8.925535,,39593000.0,131440000.0,0.21556999,3.321,buy,,0.10532000000000001,12.220999999999998,135.0,150.0,1129166976.0,0.6404,130.27,0.336,0.309,16.419,0.23305,60783628.0,2.3,22.0,2.439,867833024.0,0.1943,94.0,3.574
4511,0.1,0.9,0.8,4511,290,APOP,Cellect Biotechnology Ltd.,Healthcare,Biotechnology,Israel,996.22M,-,-,-,-,6.34,-,-,-,-,-0.92,3.40%,-23.50%,-,-,-,-,-,107.58M,3.14M,-,-,-,-,1.15%,0.09,-,-,-,-,-,-,-,-,-,-,16.62%,5.95%,191.19%,116.36%,-,199.68%,-,0.88,7.27%,7.48%,8.15%,25.22%,88.31%,-31.41%,62.46%,-31.41%,302.61%,61.17,-2.42%,3.91%,2.00,411.72K,0.23,9.26,1.39%,"96,499",-,12.00,,34262020.0,,,,42737.0,0.0,107583000.0,,-0.92,-1.05,1.44,,,-4183072.0,,6.4930553,,0.0,-3935917.0,0.0,9.296,buy,0.0,-0.42161000000000004,1.571,12.0,12.0,,0.0,12.0,,,,0.0,-2671361.0,2.0,1.0,9.067,8448622.0,-0.78573,12.0,
4399,0.1,0.9,0.8,4399,402,AUPH,Aurinia Pharmaceuticals Inc.,Healthcare,Biotechnology,Canada,370.19M,-,-,-,2139.80,10.29,-,-,-,-,-0.66,51.50%,-68.80%,-,-,-,-,-47.40%,52.81M,36.36M,-,-,-,-,21.32%,0.87,-,-,-,-,-,-,-,-,-,-,-1.41%,-3.97%,117.70%,109.88%,140.07%,233.81%,-,0.47,5.02%,5.67%,0.54%,7.27%,83.20%,-33.49%,117.03%,-33.49%,303.34%,55.28,-1.41%,0.14%,1.50,8.96M,0.21,7.01,-1.27%,"1,844,049",Mar 17/a,11.75,,340227232.0,,1966.632,,4248040.0,0.0,52808200.0,,-0.66,-0.54,0.6809999999999999,,,-23295000.0,,10.293686,,0.0,-18713000.0,-128.56648,5.223,strong_buy,,-0.30699,0.742,11.25,14.0,173000.0,0.0,11.75,-0.474,,0.005,0.0,-7084250.0,1.5,6.0,5.011,39649000.0,-0.83325994,11.0,
4329,0.1,0.9,0.8,4329,472,BATRA,The Liberty Braves Group,Services,Broadcasting - TV,USA,20.95B,-,354.71,-,79.97,3.19,195.82,-,-,-,-1.50,-165.60%,158.30%,-,38.70%,-,-211.50%,12.50%,843.85M,580.55M,1.70%,-,83.90%,0.09%,0.04%,3.46,-4.80%,-15.70%,-6.20%,0.80,0.80,0.85,0.85,-,-23.30%,-23.70%,1.26%,4.28%,19.43%,43.94%,60.19%,21.18%,-,0.59,2.10%,2.41%,3.20%,8.30%,27.38%,-3.16%,19.43%,-3.16%,74.49%,61.91,-0.36%,-0.12%,2.50,71.33K,0.50,24.83,-0.48%,"35,906",-,23.00,,1433500928.0,,5.471,-5.37,219262.0,-0.23663999,10236500.0,,-1.254,0.07,7.787999999999999,,,-62000000.0,354.7143,3.1882381,,328000000.0,89000000.0,-0.23281999,0.8270000000000001,buy,,-0.031810000000000005,2.164,23.0,23.0,262000000.0,1.0,23.0,0.125,,5.3,-0.110690005,-279750016.0,2.5,1.0,0.726,107000000.0,-0.16510999,23.0,82.0
