No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Dividend,Payout Ratio,EPS,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,EPS Q/Q,Sales Q/Q,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Beta,ATR,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,from Open,Gap,Recom,Avg Volume,Rel Volume,Price,Change,Volume,Earnings,Target Price,IPO Date
4801,ZYNE,Zynerba Pharmaceuticals,Healthcare,Drugs - Generic,USA,275.68M,-,-,-,38024.44,6.86,8.89,-,-,-,-2.57,8.40%,-12.20%,-,-,-,-15.70%,-100.00%,13.14M,10.53M,10.30%,1.27%,19.40%,21.50%,16.94%,4.01,-63.30%,-73.40%,-,5.20,5.20,0.00,0.00,-,-,-,-9.57%,4.80%,20.64%,83.55%,137.33%,34.57%,-,1.24,5.40%,5.75%,-6.69%,-2.59%,37.69%,-19.15%,14.64%,-19.15%,248.50%,41.04,0.33%,-0.38%,1.60,444.60K,0.60,20.98,-0.05%,"266,164",Mar 27/b,32.25,
4800,ZX,China Zenix Auto International Limited,Consumer Goods,Auto Parts,China,85.67M,-,-,-,0.26,0.23,0.50,3.95,-,-,-0.07,9.30%,-,-15.50%,15.00%,-11.30%,-235.50%,0.70%,52.88M,12.38M,-,-,6.30%,-64.58%,0.09%,0.43,-0.70%,-1.00%,-0.80%,1.70,1.60,0.00,0.22,17.20%,-1.10%,-1.20%,6.58%,-4.71%,19.12%,47.27%,63.64%,35.00%,0.48,0.12,6.18%,8.62%,4.68%,4.09%,27.01%,-7.43%,32.79%,-16.92%,121.92%,54.50,-2.41%,-1.78%,2.00,25.81K,0.41,1.62,-4.14%,"10,675",Mar 30/b,3.60,
4799,ZUMZ,Zumiez Inc.,Services,"Specialty Retail, Other",USA,423.80M,17.06,16.45,0.84,0.51,1.43,5.38,15.08,-,0.00%,1.05,0.00%,6.44%,-2.80%,20.35%,8.50%,46.50%,8.70%,23.61M,18.06M,11.50%,-5.63%,86.00%,-0.02%,22.22%,8.69,6.00%,8.90%,8.30%,2.90,1.40,0.00,0.00,32.90%,4.80%,3.10%,-1.37%,-1.64%,-4.77%,-18.78%,4.30%,-17.85%,1.12,0.71,3.10%,4.13%,2.98%,-2.47%,-8.92%,-17.47%,12.89%,-32.39%,32.96%,50.65,-0.55%,-0.55%,2.80,461.81K,0.41,17.95,-1.10%,"190,143",Mar 09/a,18.07,
4798,ZTS,Zoetis Inc.,Healthcare,Drugs - Generic,USA,27.72B,34.05,21.16,2.55,5.67,18.64,38.12,89.70,0.75%,22.90%,1.65,144.00%,14.61%,27.50%,13.36%,2.90%,605.90%,0.20%,493.96M,491.12M,0.01%,-23.65%,96.30%,0.17%,1.84%,2.67,10.80%,58.70%,13.80%,3.00,1.70,3.00,3.00,65.90%,25.10%,16.80%,3.54%,4.46%,2.87%,15.74%,19.86%,5.23%,1.02,0.67,1.19%,1.13%,4.52%,4.68%,8.08%,-0.95%,8.12%,-0.95%,24.92%,72.76,-0.62%,0.00%,1.80,3.39M,0.99,56.11,-0.62%,"3,341,793",May 04/b,59.86,
4797,ZTO,ZTO EXPRESS (CAYMAN) INC.,Services,Air Delivery & Freight Services,China,9.98B,33.65,16.64,5.49,7.02,3.36,6.09,27.09,-,0.00%,0.41,69.90%,33.71%,-,6.13%,-,-6.40%,45.80%,716.34M,72.10M,-,-,13.00%,0.43%,21.50%,6.08,-,-,10.10%,3.70,3.70,0.00,0.02,35.20%,28.30%,19.60%,7.07%,4.97%,12.16%,-,-,15.41%,-,0.42,2.85%,3.35%,9.25%,7.85%,3.69%,-5.62%,25.04%,-24.50%,25.04%,66.89,0.65%,1.84%,1.90,2.55M,1.31,13.93,2.50%,"3,342,787",Feb 27/a,17.65,
4796,ZSAN,ZOSANO PHARMA CORP,Healthcare,Biotechnology,USA,55.43M,-,-,-,-,6.07,3.70,-,-,-,-2.20,13.00%,9.20%,-,-,-,28.00%,-,33.80M,29.52M,57.44%,0.00%,39.00%,44.13%,7.12%,0.56,-100.20%,-249.60%,-,1.60,1.60,1.47,2.80,-,-,-,10.81%,-13.68%,43.86%,173.06%,-18.41%,110.26%,-,0.13,8.65%,7.22%,1.80%,-18.16%,34.36%,-53.66%,14.69%,-53.66%,262.83%,44.55,8.61%,-1.95%,2.00,3.78M,0.19,1.64,6.49%,"715,083",May 31,3.63,
4795,ZPIN,ZHAOPIN LTD,Services,Staffing & Outsourcing Services,China,1.00B,31.06,21.27,91.34,4.05,4.65,3.64,-,-,0.00%,0.58,11.20%,17.22%,12.20%,0.34%,-,-108.10%,25.20%,55.77M,2.81M,4.74%,0.00%,-,0.00%,1.25%,0.66,8.50%,16.30%,16.10%,2.20,2.20,0.08,0.12,89.50%,19.60%,13.40%,0.17%,4.91%,12.19%,15.81%,15.58%,18.80%,-,0.14,0.36%,0.70%,1.43%,3.10%,14.36%,-2.23%,13.25%,-2.23%,31.02%,61.68,-0.06%,0.06%,3.00,53.19K,0.28,17.95,0.00%,"14,934",May 22/a,18.00,
4794,ZOES,"ZOE'S KITCHEN, INC.",Services,Restaurants,USA,351.22M,196.20,154.27,6.75,1.27,2.70,63.86,-,-,0.00%,0.09,60.10%,138.78%,114.10%,29.08%,40.60%,-120.30%,17.60%,19.46M,19.20M,1.40%,0.00%,-,0.72%,30.80%,12.13,0.80%,1.40%,3.50%,0.70,0.60,0.23,0.23,69.70%,2.30%,0.70%,3.20%,-2.54%,-17.05%,-17.20%,-51.58%,-24.76%,-,0.54,2.52%,3.05%,3.03%,-0.49%,-25.46%,-23.68%,10.13%,-55.54%,10.13%,56.37,0.61%,-0.33%,2.50,487.64K,0.87,18.05,0.28%,"423,632",May 25/a,22.90,
4793,ZNH,China Southern Airlines Company Limited,Services,Major Airlines,China,9.71B,8.76,-,-,0.58,1.02,-,-,1.87%,194.60%,3.73,35.00%,-,-0.30%,-,4.90%,-32.00%,4.30%,297.09M,11.12M,78.10%,0.00%,1.40%,0.12%,0.18%,1.10,2.60%,12.40%,7.20%,0.20,0.20,1.66,2.48,27.80%,11.00%,4.40%,-2.45%,-6.65%,11.19%,13.86%,5.45%,27.15%,1.07,0.80,0.79%,1.26%,-5.08%,-1.95%,7.76%,-11.53%,10.25%,-11.53%,27.70%,41.09,-0.91%,-2.31%,2.00,18.22K,0.48,32.69,-3.20%,"8,818",May 05/b,183.08,
4792,ZNGA,Zynga Inc.,Technology,Multimedia & Graphics Software,USA,2.51B,-,32.11,-,3.38,1.62,2.94,50.48,-,-,-0.12,7.50%,26.76%,26.60%,30.00%,-8.20%,28.10%,2.50%,868.19M,753.53M,0.50%,-10.78%,81.10%,0.01%,2.69%,2.20,-5.60%,-6.60%,-7.40%,4.00,4.00,0.00,0.00,67.80%,-15.40%,-14.60%,3.58%,2.12%,12.45%,2.48%,20.42%,12.45%,0.99,0.07,2.92%,2.35%,2.72%,3.93%,4.30%,-2.03%,13.33%,-6.17%,27.31%,63.69,1.05%,0.70%,2.60,9.22M,0.96,2.89,1.76%,"8,824,420",May 04/a,3.32,
4791,ZN,"Zion Oil & Gas, Inc.",Basic Materials,Independent Oil & Gas,USA,60.83M,-,-,-,-,7.11,19.01,-,-,-,-0.21,-5.70%,-,35.60%,-,-,-99.90%,-,47.52M,43.33M,3.70%,-4.82%,4.90%,-3.19%,0.72%,3.06,-70.10%,-106.00%,-,2.50,2.50,0.23,0.23,-,-,-,15.32%,8.47%,0.79%,-5.19%,-27.27%,-6.57%,1.12,0.05,4.84%,4.45%,8.66%,5.65%,-2.10%,-3.03%,19.63%,-28.09%,19.63%,60.20,4.07%,0.00%,-,101.56K,1.08,1.28,4.07%,"109,801",-,-,
4790,ZLTQ,"ZELTIQ Aesthetics, Inc.",Healthcare,Medical Appliances & Equipment,USA,2.28B,-,68.88,-,6.43,16.42,40.40,244.99,-,0.00%,-0.03,-98.40%,225.40%,15.30%,30.00%,39.00%,-78.10%,34.40%,40.34M,39.98M,1.60%,-13.25%,92.80%,0.44%,5.53%,1.26,0.40%,0.60%,-0.60%,2.30,1.70,0.00,0.00,70.80%,3.80%,0.20%,-0.04%,1.15%,31.78%,53.31%,82.78%,29.78%,1.43,0.10,0.05%,0.13%,0.39%,1.07%,29.14%,-0.04%,2.21%,-0.04%,139.53%,68.46,0.00%,0.00%,3.00,1.76M,1.82,56.48,0.00%,0,May 31/a,56.42,
4789,ZIXI,Zix Corporation,Technology,Application Software,USA,293.55M,50.28,17.13,2.51,4.88,5.84,11.08,22.24,-,0.00%,0.11,23.00%,16.12%,-20.40%,20.00%,9.50%,156.80%,9.10%,54.06M,52.37M,1.90%,0.00%,68.60%,0.01%,1.61%,2.79,7.10%,12.00%,11.50%,1.00,1.00,0.00,0.00,82.50%,15.40%,9.70%,1.12%,16.03%,13.12%,34.07%,44.03%,9.92%,1.40,0.18,4.58%,3.00%,6.84%,8.04%,20.39%,-9.35%,18.04%,-9.35%,50.42%,65.91,-0.91%,0.37%,2.00,302.37K,1.53,5.43,-0.55%,"461,405",Apr 25/a,5.75,
4788,ZIOP,"ZIOPHARM Oncology, Inc.",Healthcare,Biotechnology,USA,929.28M,-,-,-,134.68,-,11.46,-,-,-,-1.32,-38.10%,-12.30%,-6.50%,-,59.40%,-55.00%,-15.80%,132.00M,127.91M,1.90%,0.00%,46.30%,0.23%,28.77%,27.71,-139.80%,595.10%,213.90%,6.60,6.60,-,-,-,-,-,3.68%,5.23%,21.80%,28.47%,-11.78%,31.59%,1.45,0.41,6.52%,5.74%,3.55%,7.15%,18.54%,-10.66%,23.90%,-19.27%,58.20%,54.09,-6.38%,0.13%,2.60,1.33M,1.42,7.04,-6.26%,"1,885,179",May 18/a,23.00,
4787,ZION,Zions Bancorporation,Financial,Regional - Pacific Banks,USA,8.12B,20.10,13.49,1.66,4.16,1.17,2.15,20.28,0.80%,14.00%,1.99,66.00%,19.44%,19.10%,12.12%,-2.20%,40.60%,6.00%,202.88M,198.95M,1.20%,0.00%,95.90%,0.24%,9.11%,6.88,0.70%,5.90%,20.60%,-,-,0.08,0.08,-,90.80%,20.80%,-2.01%,-3.12%,-7.00%,25.05%,46.84%,-6.82%,1.40,1.13,2.50%,2.42%,-2.32%,-6.39%,8.50%,-17.17%,2.40%,-17.17%,75.08%,40.05,-1.74%,0.20%,2.40,2.64M,1.45,40.03,-1.55%,"3,810,486",Apr 24/a,46.17,
4786,ZGNX,"Zogenix, Inc.",Healthcare,Drug Manufacturers - Major,USA,274.23M,-,-,-,9.49,2.26,-,-,-,-,-2.77,-42.50%,6.40%,29.30%,25.00%,-5.10%,-99.00%,80.30%,24.93M,22.56M,35.10%,0.06%,92.10%,3.28%,18.98%,16.43,-26.70%,-47.00%,-50.20%,5.90,5.60,0.16,0.18,23.10%,-,-,2.80%,-2.22%,36.65%,28.65%,3.48%,-9.47%,1.77,0.45,4.05%,3.99%,3.77%,4.99%,7.76%,-3.51%,29.41%,-19.71%,50.07%,58.65,0.00%,0.00%,1.60,260.54K,0.56,11.00,0.00%,"145,008",Mar 09/a,19.40,
4785,ZG,"Zillow Group, Inc.",Technology,Internet Information Providers,USA,7.01B,-,48.54,-,8.28,2.76,13.83,-,-,-,-1.23,-39.50%,83.99%,38.20%,-,66.60%,10.50%,34.40%,182.03M,155.15M,0.10%,0.00%,94.10%,-0.03%,2.76%,9.41,-7.10%,-8.50%,-7.40%,6.00,6.00,0.15,0.15,91.50%,-25.50%,-26.00%,6.44%,14.28%,3.75%,20.47%,53.78%,5.60%,1.18,0.76,2.41%,1.80%,9.49%,10.21%,8.62%,-3.22%,17.96%,-3.75%,57.81%,74.76,-1.41%,0.13%,2.30,455.54K,0.82,38.49,-1.28%,"374,835",May 04/a,39.36,
4784,ZFGN,"ZAFGEN, INC.",Healthcare,Biotechnology,USA,128.73M,-,-,-,-,1.10,1.00,-,-,-,-2.12,23.60%,13.30%,-27.30%,-,-,55.10%,-,26.38M,26.02M,0.20%,61.05%,69.40%,-0.03%,3.11%,4.67,-38.60%,-42.20%,-,13.20,13.20,0.00,0.03,-,-,-,2.31%,3.39%,20.49%,44.81%,-26.40%,53.46%,-,0.22,4.35%,4.35%,0.02%,8.37%,29.39%,-6.67%,28.76%,-36.87%,68.86%,54.64,-2.40%,0.40%,2.70,173.29K,0.59,4.88,-2.01%,"102,535",Mar 09,5.80,
